pkg,title,topics
vpp,View and (selectively) Print PDF and PostScript,"View app, Print app"
vtable,Vertical alignement of table cells,Table
vwcol,Variable-width multiple text columns,"Multi-column, Tagged PDF – incompatible"
wallcalendar,A wall calendar class with custom layouts,"Use Lua, Class, Calendar, LuaTeX"
wallpaper,"Easy addition of wallpapers (background images) to LaTeX documents, including tiling","Layout page, Tagged PDF – incompatible"
wargame,A LaTeX package to prepare hex’n’counter wargames,"Symbol support, PGF TikZ, Games"
wasy,The wasy fonts (Waldi symbol fonts),"Font, MF Font, Font symbol"
wasysym,LaTeX support for the wasy fonts,"Tagged PDF – partially compatible, Font support"
webquiz,Write interactive web based quizzes,"Exam, Convert HTML"
weiqi,Use LaTeX3 to typeset Weiqi (Go),"Games, Go"
wheelchart,Diagrams with circular or other shapes using TikZ and LaTeX3,"Graphics, Tagged PDF – fully compatible, PGF TikZ, Charts"
wordle,Create wordle grids,"Games, PGF TikZ"
wrapstuff,Wrapping text around stuff,"Text flow, Tagged PDF – incompatible"
writeongrid,Write on grid lines,"Typeset grid, PGF TikZ"
xbmks,Create a cross-document bookmark tree,"Adobe Distiller, PDF process"
xcharter,Extension of Bitstream Charter fonts,"Proportional Font, Font support, Cyrillic Font, Font t1enc, Font serif, Font, Body Font, OTF Font, Multilingual Font, Font Type1, Tagged PDF – fully compatible"
xcharter-math,XCharter-based OpenType Math font for LuaTeX and XeTeX,"Font, Font supp maths, Tagged PDF – fully compatible, OTF Font, Maths Font"
xcjk2uni,"Convert CJK characters to Unicode, in pdfTeX","Unicode, PDF features"
xcoffins,Rich boxed material for LaTeX 3,"LaTeX3, Boxing, Tagged PDF – incompatible"
xcolor-material,Defines the 256 colors from Google Material Color Palette,Colour
xcomment,Allows selected environments to be included/excluded,"Conditional compilation, Tagged PDF – partially compatible"
xesearch,A string finder for XeTeX,"Tagged PDF – unsupported, XeTeX, String"
xespotcolor,Spot colours support for XeLaTeX,"Tagged PDF – unsupported, Colour"
xetex,An extended variant of TeX for use with Unicode sources,Engine
xhfill,Extending \hrulefill,"Rule, Tagged PDF – incompatible"
xindex,Unicode-compatible index generation,"Index, Tagged PDF – fully compatible, Use Lua"
xindy,A general-purpose index processor,Index
xint,Expandable arbitrary precision floating point and integer operations,"Calculation, Arithmetic"
xkcdcolors,<span>xkcd</span> names of colors,"Colour, Amusements"
xpiano,An extension of the piano package,"Music, Tagged PDF – partially compatible"
xpicture,Extensions of LaTeX picture drawing,"Tagged PDF – incompatible, Curve Graphics, Graphics in TeX"
xq,Support for writing about xiangqi,"Chess, Games, Tagged PDF – unsupported"
xr,References to other LaTeX documents,"Cite support, Typesetting, Label and References, Tagged PDF – fully compatible"
xreview,Reviewing LaTeX documents made easy(er),Review document
xsavebox,"Saveboxes for repeating content without code replication, based on PDF Form XObjects","Tagged PDF – incompatible, Boxing, PDF features, Adobe Distiller"
xsim,<span>eXercise</span> Sheets IMproved,"Exercise, Exam"
xskak,An extension to the skak package for chess typesetting,"Games, &epsilon;-TeX, Chess, Tagged PDF – incompatible"
xurl,Allow URL breaks at any alphanumerical character,"Verbatim, Tagged PDF – fully compatible"
xwatermark,Graphics and text watermarks on selected pages,Background
xymtex,Typesetting chemical structures,"Chemistry, Diagrams"
xypic,Flexible diagramming macros,"Diagrams, Tagged PDF – incompatible"
yquant,Typesetting quantum circuits in a human-readable language,"PGF TikZ, Graphics, Circuit Diagram"
ytableau,Many-featured Young tableaux and Young diagrams,"Tagged PDF – incompatible, Maths"
zhlineskip,Line spacing for CJK documents,"Tagged PDF – fully compatible, Chinese"
zhlipsum,Chinese dummy text,"Dummy generator, LaTeX3, Tagged PDF – fully compatible, Chinese, Macro support"
zhmcjk,Simplify configuration of CJK installations for Chinese,"Font use, Chinese, CJK Font"
zhnumber,Typeset Chinese representations of numbers,"Chinese, Numbers, Tagged PDF – fully compatible"
zwpagelayout,Page layout and crop-marks,"Production, Geometry"
